#originalx originaly dispx dispy
4.0000E-03 0.0000E+00 0.0000E+00 0.0000E+00
3.9800E-03 0.0000E+00 2.5398E-09 3.0923E-10
3.9600E-03 0.0000E+00 4.2315E-09 1.4788E-09
3.9400E-03 0.0000E+00 5.9449E-09 2.8667E-09
3.9200E-03 0.0000E+00 7.1656E-09 4.0527E-09
3.9000E-03 0.0000E+00 8.1734E-09 5.4642E-09
3.8800E-03 0.0000E+00 9.1395E-09 7.0904E-09
3.8600E-03 0.0000E+00 1.0414E-08 8.8676E-09
3.8400E-03 0.0000E+00 1.1815E-08 1.0199E-08
3.8200E-03 0.0000E+00 1.2617E-08 1.0536E-08
3.8000E-03 0.0000E+00 1.2854E-08 1.1549E-08
3.7800E-03 0.0000E+00 1.3208E-08 1.2789E-08
3.7600E-03 0.0000E+00 1.4447E-08 1.5012E-08
3.7400E-03 0.0000E+00 1.6417E-08 1.5678E-08
3.7200E-03 0.0000E+00 1.8178E-08 1.6018E-08
3.7000E-03 0.0000E+00 1.9391E-08 1.5250E-08
3.6800E-03 0.0000E+00 1.9917E-08 1.4626E-08
3.6600E-03 0.0000E+00 2.0025E-08 1.4765E-08
3.6400E-03 0.0000E+00 2.0252E-08 1.5640E-08
3.6200E-03 0.0000E+00 2.0704E-08 1.7271E-08
3.6000E-03 0.0000E+00 2.1666E-08 1.8998E-08
3.5800E-03 0.0000E+00 2.3210E-08 2.0249E-08
3.5600E-03 0.0000E+00 2.4573E-08 2.0289E-08
3.5400E-03 0.0000E+00 2.5186E-08 2.0074E-08
3.5200E-03 0.0000E+00 2.5243E-08 1.9583E-08
3.5000E-03 0.0000E+00 2.5449E-08 2.1126E-08
3.4800E-03 0.0000E+00 2.6191E-08 2.2184E-08
3.4600E-03 0.0000E+00 2.7321E-08 2.3227E-08
3.4400E-03 0.0000E+00 2.8665E-08 2.4258E-08
3.4200E-03 0.0000E+00 3.0479E-08 2.4853E-08
3.4000E-03 0.0000E+00 3.2511E-08 2.4656E-08
3.3800E-03 0.0000E+00 3.4253E-08 2.3629E-08
3.3600E-03 0.0000E+00 3.5727E-08 2.2415E-08
3.3400E-03 0.0000E+00 3.6617E-08 2.0764E-08
3.3200E-03 0.0000E+00 3.6804E-08 2.0102E-08
3.3000E-03 0.0000E+00 3.6633E-08 2.0398E-08
3.2800E-03 0.0000E+00 3.7088E-08 2.2328E-08
3.2600E-03 0.0000E+00 3.8616E-08 2.4153E-08
3.2400E-03 0.0000E+00 4.0816E-08 2.4766E-08
3.2200E-03 0.0000E+00 4.2520E-08 2.3478E-08
3.2000E-03 0.0000E+00 4.2751E-08 2.1844E-08
3.1800E-03 0.0000E+00 4.2000E-08 2.1309E-08
3.1600E-03 0.0000E+00 4.1602E-08 2.2997E-08
3.1400E-03 0.0000E+00 4.1977E-08 2.5057E-08
3.1200E-03 0.0000E+00 4.3373E-08 2.7352E-08
3.1000E-03 0.0000E+00 4.5541E-08 2.7831E-08
3.0800E-03 0.0000E+00 4.7174E-08 2.6428E-08
3.0600E-03 0.0000E+00 4.7721E-08 2.5420E-08
3.0400E-03 0.0000E+00 4.7913E-08 2.4887E-08
3.0200E-03 0.0000E+00 4.8281E-08 2.5000E-08
3.0000E-03 0.0000E+00 4.9101E-08 2.5442E-08
2.9800E-03 0.0000E+00 5.0315E-08 2.5240E-08
2.9600E-03 0.0000E+00 5.1601E-08 2.4344E-08
2.9400E-03 0.0000E+00 5.2499E-08 2.3190E-08
2.9200E-03 0.0000E+00 5.3004E-08 2.2677E-08
2.9000E-03 0.0000E+00 5.3331E-08 2.2254E-08
2.8800E-03 0.0000E+00 5.3649E-08 2.2013E-08
2.8600E-03 0.0000E+00 5.4196E-08 2.2013E-08
2.8400E-03 0.0000E+00 5.4959E-08 2.1984E-08
2.8200E-03 0.0000E+00 5.6166E-08 2.2656E-08
2.8000E-03 0.0000E+00 5.8114E-08 2.2772E-08
2.7800E-03 0.0000E+00 6.0514E-08 2.1952E-08
2.7600E-03 0.0000E+00 6.2775E-08 2.0611E-08
2.7400E-03 0.0000E+00 6.4753E-08 1.8324E-08
2.7200E-03 0.0000E+00 6.5783E-08 1.5929E-08
2.7000E-03 0.0000E+00 6.5833E-08 1.4057E-08
2.6800E-03 0.0000E+00 6.5710E-08 1.3268E-08
2.6600E-03 0.0000E+00 6.5878E-08 1.3239E-08
2.6400E-03 0.0000E+00 6.6619E-08 1.4206E-08
2.6200E-03 0.0000E+00 6.8176E-08 1.5243E-08
2.6000E-03 0.0000E+00 7.0814E-08 1.6249E-08
2.5800E-03 0.0000E+00 7.4515E-08 1.6471E-08
2.5600E-03 0.0000E+00 7.8489E-08 1.4556E-08
2.5400E-03 0.0000E+00 8.1722E-08 1.1210E-08
2.5200E-03 0.0000E+00 8.3763E-08 7.8890E-09
2.5000E-03 0.0000E+00 8.5171E-08 4.7821E-09
2.4800E-03 0.0000E+00 8.6172E-08 3.0905E-09
2.4600E-03 0.0000E+00 8.6884E-08 2.2919E-09
2.4400E-03 0.0000E+00 8.8274E-08 3.0741E-09
2.4200E-03 0.0000E+00 9.0647E-08 3.4670E-09
2.4000E-03 0.0000E+00 9.3649E-08 3.0504E-09
2.3800E-03 0.0000E+00 9.6973E-08 1.5007E-09
2.3600E-03 0.0000E+00 1.0030E-07 -4.6748E-10
2.3400E-03 0.0000E+00 1.0371E-07 -2.7758E-09
2.3200E-03 0.0000E+00 1.0684E-07 -5.5406E-09
2.3000E-03 0.0000E+00 1.0898E-07 -8.0836E-09
2.2800E-03 0.0000E+00 1.1052E-07 -9.8917E-09
2.2600E-03 0.0000E+00 1.1231E-07 -1.0155E-08
2.2400E-03 0.0000E+00 1.1486E-07 -1.0637E-08
2.2200E-03 0.0000E+00 1.1796E-07 -1.1032E-08
2.2000E-03 0.0000E+00 1.2119E-07 -1.1909E-08
2.1800E-03 0.0000E+00 1.2431E-07 -1.3533E-08
