#originalx originaly dispx dispy
4.0000E-03 1.0000E-04 0.0000E+00 0.0000E+00
3.9800E-03 1.0000E-04 3.1677E-09 1.0419E-08
3.9600E-03 1.0000E-04 1.3056E-09 8.5183E-09
3.9400E-03 1.0000E-04 3.4113E-09 3.9745E-09
3.9200E-03 1.0000E-04 5.7638E-09 -3.4834E-09
3.9000E-03 1.0000E-04 1.4078E-08 -6.2319E-09
3.8800E-03 1.0000E-04 1.7664E-08 8.9185E-09
3.8600E-03 1.0000E-04 1.0989E-08 1.8610E-08
3.8400E-03 1.0000E-04 6.4072E-09 1.5081E-08
3.8200E-03 1.0000E-04 8.2382E-09 3.5543E-09
3.8000E-03 1.0000E-04 2.2349E-08 -4.7094E-09
3.7800E-03 1.0000E-04 3.8846E-08 1.7508E-08
3.7600E-03 1.0000E-04 3.1892E-08 4.5289E-08
3.7400E-03 1.0000E-04 1.8325E-08 4.1549E-08
3.7200E-03 1.0000E-04 1.3977E-08 2.8105E-08
3.7000E-03 1.0000E-04 1.1736E-08 1.5683E-08
3.6800E-03 1.0000E-04 1.3398E-08 -2.1828E-11
3.6600E-03 1.0000E-04 2.1462E-08 -3.2323E-09
3.6400E-03 1.0000E-04 2.7488E-08 4.5275E-09
3.6200E-03 1.0000E-04 3.1098E-08 1.7108E-08
3.6000E-03 1.0000E-04 3.2225E-08 3.1134E-08
3.5800E-03 1.0000E-04 2.8737E-08 4.1917E-08
3.5600E-03 1.0000E-04 2.4951E-08 4.0873E-08
3.5400E-03 1.0000E-04 2.5128E-08 2.8036E-08
3.5200E-03 1.0000E-04 3.5121E-08 1.6575E-08
3.5000E-03 1.0000E-04 4.6542E-08 1.7835E-08
3.4800E-03 1.0000E-04 5.1124E-08 2.5693E-08
3.4600E-03 1.0000E-04 5.2492E-08 3.0188E-08
3.4400E-03 1.0000E-04 5.2830E-08 3.8783E-08
3.4200E-03 1.0000E-04 4.5863E-08 5.1146E-08
3.4000E-03 1.0000E-04 3.2008E-08 4.8653E-08
3.3800E-03 1.0000E-04 2.4890E-08 3.0101E-08
3.3600E-03 1.0000E-04 2.6816E-08 1.5963E-08
3.3400E-03 1.0000E-04 3.2012E-08 6.6302E-09
3.3200E-03 1.0000E-04 4.1438E-08 5.4006E-09
3.3000E-03 1.0000E-04 4.9536E-08 1.6385E-08
3.2800E-03 1.0000E-04 5.2461E-08 2.9970E-08
3.2600E-03 1.0000E-04 4.9852E-08 3.8359E-08
3.2400E-03 1.0000E-04 4.1270E-08 3.8155E-08
3.2200E-03 1.0000E-04 3.5011E-08 2.0480E-08
3.2000E-03 1.0000E-04 3.8087E-08 1.8426E-09
3.1800E-03 1.0000E-04 4.5583E-08 -3.9017E-09
3.1600E-03 1.0000E-04 5.3296E-08 -1.7499E-09
3.1400E-03 1.0000E-04 6.0406E-08 1.6673E-08
3.1200E-03 1.0000E-04 5.4369E-08 4.2950E-08
3.1000E-03 1.0000E-04 4.1600E-08 5.1270E-08
3.0800E-03 1.0000E-04 3.6688E-08 4.6230E-08
3.0600E-03 1.0000E-04 3.5633E-08 4.1118E-08
3.0400E-03 1.0000E-04 4.0485E-08 2.8032E-08
3.0200E-03 1.0000E-04 5.2401E-08 2.2072E-08
3.0000E-03 1.0000E-04 5.7963E-08 3.0899E-08
2.9800E-03 1.0000E-04 5.7785E-08 3.3840E-08
2.9600E-03 1.0000E-04 5.9012E-08 3.2422E-08
2.9400E-03 1.0000E-04 5.8441E-08 3.4695E-08
2.9200E-03 1.0000E-04 5.6637E-08 2.4416E-08
