#t ball_ke ball_ie coating_ke coating_ie plate_ke plate_ie
0.0000E+00 2.0139E-02 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00
7.5201E-08 2.0139E-02 1.0689E-14 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00
1.5040E-07 2.0139E-02 4.0118E-14 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00
2.2504E-07 2.0139E-02 8.7709E-14 4.9748E-15 1.4316E-15 4.4470E-16 4.7603E-16
3.0024E-07 2.0139E-02 1.5438E-13 4.4375E-15 1.1840E-14 3.1277E-15 3.1147E-15
3.7544E-07 2.0139E-02 2.3968E-13 8.1862E-15 1.2836E-14 5.7541E-15 5.8222E-15
4.5009E-07 2.0139E-02 3.4261E-13 1.1568E-14 1.1798E-14 7.5338E-15 8.2118E-15
5.2529E-07 2.0139E-02 4.6478E-13 3.0133E-14 1.4351E-14 1.0318E-14 9.7464E-15
6.0049E-07 2.0139E-02 6.0462E-13 3.3619E-14 1.8408E-14 2.1449E-14 1.5198E-14
6.7514E-07 2.0139E-02 7.6084E-13 2.3809E-14 3.9650E-14 1.7680E-14 3.2507E-14
7.5034E-07 2.0139E-02 9.3619E-13 4.2067E-14 6.4584E-14 3.6268E-14 2.4916E-14
8.2555E-07 2.0139E-02 1.1297E-12 6.0190E-14 7.5329E-14 3.2905E-14 3.8568E-14
9.0019E-07 2.0139E-02 1.3390E-12 5.3559E-14 1.1077E-13 3.9168E-14 5.1408E-14
9.7540E-07 2.0139E-02 1.5673E-12 8.5930E-14 1.2382E-13 5.2272E-14 5.3855E-14
1.0500E-06 2.0139E-02 1.8130E-12 7.8552E-14 1.6876E-13 7.4576E-14 6.7479E-14
1.1252E-06 2.0139E-02 2.0785E-12 9.2503E-14 2.0278E-13 7.6476E-14 9.2514E-14
1.2005E-06 2.0139E-02 2.3587E-12 1.4172E-13 2.1293E-13 8.2565E-14 1.1699E-13
1.2751E-06 2.0139E-02 2.6545E-12 2.3148E-13 2.6003E-13 1.1146E-13 9.0059E-14
1.3503E-06 2.0139E-02 2.9709E-12 1.7355E-13 3.7204E-13 9.7307E-14 1.1918E-13
1.4255E-06 2.0139E-02 3.3066E-12 2.4134E-13 3.8986E-13 1.1802E-13 1.4060E-13
1.5002E-06 2.0138E-02 3.3129E-08 4.7552E-07 9.6508E-07 3.3500E-09 5.7233E-09
1.5754E-06 2.0131E-02 2.0659E-07 7.9571E-07 6.2105E-06 5.2301E-08 2.4507E-07
1.6500E-06 2.0114E-02 8.4557E-07 1.2363E-06 1.9231E-05 1.8587E-07 1.1723E-06
1.7252E-06 2.0081E-02 2.2140E-06 1.5365E-06 4.3068E-05 4.9836E-07 3.6334E-06
1.8004E-06 2.0029E-02 4.7794E-06 2.0174E-06 8.0725E-05 9.9358E-07 8.3240E-06
1.8751E-06 1.9954E-02 8.7358E-06 2.4525E-06 1.3401E-04 1.7245E-06 1.6183E-05
1.9503E-06 1.9851E-02 1.4389E-05 2.9598E-06 2.0692E-04 2.6012E-06 2.7943E-05
2.0255E-06 1.9716E-02 2.1813E-05 3.5306E-06 3.0046E-04 3.4376E-06 4.5044E-05
2.1001E-06 1.9551E-02 3.0941E-05 4.0948E-06 4.1400E-04 4.1194E-06 6.9541E-05
2.1753E-06 1.9349E-02 4.1815E-05 4.6397E-06 5.4911E-04 4.5071E-06 1.0398E-04
2.2505E-06 1.9111E-02 5.4259E-05 5.2135E-06 7.0493E-04 4.6127E-06 1.5040E-04
2.3252E-06 1.8838E-02 6.8142E-05 5.8863E-06 8.7858E-04 4.5087E-06 2.1042E-04
2.4004E-06 1.8525E-02 8.3651E-05 6.7113E-06 1.0687E-03 4.5234E-06 2.9009E-04
2.4750E-06 1.8175E-02 1.0060E-04 7.1941E-06 1.2696E-03 4.7186E-06 3.9234E-04
2.5502E-06 1.7786E-02 1.1883E-04 8.3038E-06 1.4852E-03 4.8898E-06 5.1668E-04
2.6254E-06 1.7359E-02 1.3852E-04 9.1650E-06 1.7107E-03 5.3212E-06 6.6482E-04
2.7001E-06 1.6900E-02 1.5930E-04 1.0098E-05 1.9420E-03 6.0627E-06 8.3809E-04
2.7753E-06 1.6403E-02 1.8159E-04 1.0136E-05 2.1785E-03 7.0799E-06 1.0413E-03
2.8505E-06 1.5873E-02 2.0497E-04 1.0435E-05 2.4085E-03 8.8249E-06 1.2804E-03
2.9251E-06 1.5317E-02 2.2869E-04 1.1584E-05 2.6396E-03 1.0188E-05 1.5467E-03
3.0003E-06 1.4730E-02 2.5126E-04 1.2573E-05 2.8798E-03 1.0980E-05 1.8350E-03
3.0755E-06 1.4118E-02 2.7275E-04 1.3160E-05 3.1257E-03 1.1681E-05 2.1433E-03
3.1502E-06 1.3489E-02 2.9320E-04 1.3197E-05 3.3753E-03 1.2299E-05 2.4674E-03
3.2254E-06 1.2834E-02 3.1459E-04 1.3052E-05 3.6219E-03 1.3458E-05 2.8168E-03
3.3000E-06 1.2168E-02 3.3813E-04 1.2975E-05 3.8601E-03 1.4580E-05 3.1859E-03
3.3752E-06 1.1484E-02 3.6291E-04 1.3785E-05 4.1004E-03 1.4722E-05 3.5728E-03
3.4504E-06 1.0792E-02 3.8601E-04 1.3071E-05 4.3434E-03 1.4065E-05 3.9661E-03
3.5251E-06 1.0100E-02 4.0826E-04 1.3063E-05 4.5887E-03 1.3066E-05 4.3600E-03
3.6003E-06 9.3985E-03 4.3143E-04 1.2121E-05 4.8294E-03 1.2994E-05 4.7625E-03
3.6755E-06 8.6965E-03 4.5576E-04 1.1804E-05 5.0604E-03 1.3054E-05 5.1750E-03
3.7501E-06 8.0044E-03 4.7778E-04 1.2103E-05 5.2876E-03 1.3055E-05 5.5888E-03
3.8253E-06 7.3165E-03 4.9605E-04 1.2268E-05 5.5152E-03 1.2552E-05 6.0044E-03
3.9005E-06 6.6421E-03 5.1215E-04 1.0942E-05 5.7347E-03 1.1664E-05 6.4162E-03
