#t ball_ke ball_ie coating_ke coating_ie plate_ke plate_ie
0.0000E+00 2.0139E-02 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00
7.5251E-08 2.0139E-02 4.1411E-15 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00
1.5050E-07 2.0139E-02 1.4687E-14 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00
2.2575E-07 2.0139E-02 3.1508E-14 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00
3.0003E-07 2.0139E-02 5.4280E-14 1.3931E-13 1.4038E-13 2.2901E-14 9.2000E-15
3.7528E-07 2.0139E-02 8.3289E-14 1.8553E-13 1.0113E-13 2.1540E-14 2.2009E-14
4.5053E-07 2.0139E-02 1.1817E-13 1.1511E-13 1.1410E-13 1.5137E-14 1.5594E-14
5.2578E-07 2.0139E-02 1.5966E-13 1.3964E-13 6.8678E-14 1.2249E-14 1.2739E-14
6.0005E-07 2.0139E-02 2.0605E-13 1.2589E-13 5.9702E-14 9.8578E-15 1.2067E-14
6.7531E-07 2.0139E-02 2.5941E-13 1.0579E-13 6.9423E-14 1.0153E-14 9.9763E-15
7.5056E-07 2.0139E-02 3.1897E-13 1.4116E-13 2.4724E-14 9.5064E-15 9.4015E-15
8.2581E-07 2.0139E-02 3.8441E-13 1.2030E-13 3.5510E-14 1.2825E-14 5.0255E-15
9.0009E-07 2.0139E-02 4.5452E-13 9.0827E-14 6.0351E-14 8.1750E-15 9.0735E-15
9.7534E-07 2.0139E-02 5.3219E-13 9.8147E-14 4.5861E-14 7.9056E-15 8.7944E-15
1.0506E-06 2.0139E-02 6.1575E-13 9.1857E-14 4.5182E-14 7.6968E-15 8.5172E-15
1.1258E-06 2.0139E-02 7.0547E-13 9.2327E-14 4.0837E-14 6.2967E-15 9.4324E-15
1.2001E-06 2.0139E-02 7.9888E-13 1.0617E-13 2.2965E-14 7.6902E-15 7.8040E-15
1.2754E-06 2.0139E-02 8.9977E-13 9.6780E-14 2.8732E-14 7.9903E-15 7.2620E-15
1.3506E-06 2.0139E-02 1.0066E-12 8.4704E-14 3.9364E-14 9.5625E-15 5.4350E-15
1.4259E-06 2.0139E-02 1.1196E-12 8.2691E-14 3.9838E-14 6.9156E-15 7.8940E-15
1.5001E-06 2.0138E-02 6.5871E-08 3.9906E-07 7.2769E-07 1.4886E-09 1.7916E-09
1.5754E-06 2.0132E-02 3.4683E-07 1.2093E-06 4.1934E-06 5.1172E-08 1.6341E-07
1.6506E-06 2.0120E-02 1.0935E-06 1.7244E-06 1.2297E-05 1.5182E-07 8.1324E-07
1.7259E-06 2.0097E-02 2.8566E-06 2.7616E-06 2.6555E-05 3.1837E-07 2.2453E-06
1.8001E-06 2.0064E-02 5.6769E-06 3.4674E-06 4.8158E-05 5.9351E-07 4.9609E-06
1.8754E-06 2.0013E-02 1.0278E-05 4.9045E-06 7.8815E-05 9.4186E-07 9.1400E-06
1.9506E-06 1.9947E-02 1.6648E-05 6.5212E-06 1.2105E-04 1.2989E-06 1.5212E-05
2.0259E-06 1.9861E-02 2.4550E-05 8.5052E-06 1.7536E-04 1.6017E-06 2.3161E-05
