#t ball_ke coating_ie plate_ie
0.0000E+00 2.0139E-02 0.0000E+00 0.0000E+00
7.5201E-08 2.0139E-02 0.0000E+00 0.0000E+00
1.5040E-07 2.0139E-02 0.0000E+00 0.0000E+00
2.2504E-07 2.0139E-02 5.3119E-16 1.1666E-16
3.0024E-07 2.0139E-02 4.9504E-16 2.7111E-16
3.7544E-07 2.0139E-02 6.6242E-16 3.3593E-16
4.5009E-07 2.0139E-02 3.9531E-16 3.9021E-16
5.2529E-07 2.0139E-02 8.1630E-16 5.2104E-16
6.0049E-07 2.0139E-02 6.1241E-16 2.7042E-16
6.7514E-07 2.0139E-02 9.2093E-16 2.8231E-16
7.5034E-07 2.0139E-02 7.7253E-16 1.4205E-16
8.2555E-07 2.0139E-02 9.9362E-16 2.2773E-16
9.0019E-07 2.0139E-02 9.1618E-16 3.1470E-16
9.7540E-07 2.0139E-02 1.0398E-15 3.5911E-16
1.0500E-06 2.0139E-02 1.0212E-15 4.7354E-16
1.1252E-06 2.0139E-02 1.0909E-15 2.8047E-16
1.2005E-06 2.0139E-02 1.1306E-15 2.6961E-16
1.2751E-06 2.0139E-02 1.1289E-15 1.7998E-16
1.3503E-06 2.0139E-02 1.2018E-15 2.4742E-16
1.4255E-06 2.0139E-02 1.1540E-15 3.2245E-16
1.5002E-06 2.0138E-02 6.2213E-07 6.3179E-10
1.5754E-06 2.0133E-02 3.9100E-06 9.3585E-08
1.6500E-06 2.0122E-02 1.1981E-05 4.7533E-07
1.7252E-06 2.0101E-02 2.7446E-05 1.4726E-06
1.8004E-06 2.0067E-02 5.2041E-05 3.5420E-06
1.8751E-06 2.0017E-02 8.7367E-05 6.9849E-06
1.9503E-06 1.9947E-02 1.3539E-04 1.2693E-05
2.0255E-06 1.9855E-02 1.9810E-04 2.0877E-05
2.1001E-06 1.9738E-02 2.7654E-04 3.2334E-05
2.1753E-06 1.9593E-02 3.7269E-04 4.7588E-05
2.2505E-06 1.9417E-02 4.8888E-04 6.6951E-05
2.3252E-06 1.9212E-02 6.2303E-04 9.2720E-05
2.4004E-06 1.8972E-02 7.7783E-04 1.2557E-04
2.4750E-06 1.8700E-02 9.4941E-04 1.6793E-04
2.5502E-06 1.8391E-02 1.1419E-03 2.2085E-04
2.6254E-06 1.8046E-02 1.3523E-03 2.8522E-04
2.7001E-06 1.7670E-02 1.5749E-03 3.6359E-04
2.7753E-06 1.7254E-02 1.8120E-03 4.6061E-04
2.8505E-06 1.6806E-02 2.0567E-03 5.7889E-04
2.9251E-06 1.6328E-02 2.3076E-03 7.1777E-04
3.0003E-06 1.5816E-02 2.5661E-03 8.8017E-04
3.0755E-06 1.5275E-02 2.8327E-03 1.0630E-03
3.1502E-06 1.4711E-02 3.0981E-03 1.2690E-03
3.2254E-06 1.4118E-02 3.3555E-03 1.5105E-03
3.3000E-06 1.3509E-02 3.6056E-03 1.7759E-03
3.3752E-06 1.2877E-02 3.8576E-03 2.0664E-03
3.4504E-06 1.2229E-02 4.1067E-03 2.3729E-03
3.5251E-06 1.1573E-02 4.3539E-03 2.6874E-03
3.6003E-06 1.0902E-02 4.6014E-03 3.0195E-03
3.6755E-06 1.0225E-02 4.8376E-03 3.3702E-03
3.7501E-06 9.5480E-03 5.0671E-03 3.7307E-03
3.8253E-06 8.8667E-03 5.2976E-03 4.0958E-03
3.9005E-06 8.1896E-03 5.5246E-03 4.4649E-03
3.9752E-06 7.5242E-03 5.7475E-03 4.8296E-03
4.0504E-06 6.8641E-03 5.9602E-03 5.1977E-03
4.1250E-06 6.2208E-03 6.1619E-03 5.5629E-03
4.2003E-06 5.5894E-03 6.3569E-03 5.9258E-03
4.2755E-06 4.9784E-03 6.5551E-03 6.2724E-03
4.3501E-06 4.3962E-03 6.7409E-03 6.6054E-03
4.4253E-06 3.8364E-03 6.9157E-03 6.9298E-03
4.5005E-06 3.3052E-03 7.0770E-03 7.2419E-03
4.5752E-06 2.8089E-03 7.2281E-03 7.5311E-03
4.6504E-06 2.3427E-03 7.3771E-03 7.7993E-03
4.7250E-06 1.9162E-03 7.5154E-03 8.0440E-03
4.8002E-06 1.5257E-03 7.6380E-03 8.2744E-03
4.8754E-06 1.1764E-03 7.7438E-03 8.4813E-03
4.9501E-06 8.7188E-04 7.8391E-03 8.6608E-03
5.0253E-06 6.0929E-04 7.9266E-03 8.8109E-03
5.1005E-06 3.9237E-04 8.0064E-03 8.9263E-03
5.1751E-06 2.2333E-04 8.0707E-03 9.0138E-03
5.2503E-06 1.0054E-04 8.1164E-03 9.0788E-03
5.3255E-06 2.6028E-05 8.1525E-03 9.1127E-03
