#originalx originaly dispx dispy
4.0000E-03 0.0000E+00 0.0000E+00 0.0000E+00
3.9800E-03 0.0000E+00 2.5956E-09 1.7189E-09
3.9600E-03 0.0000E+00 4.1142E-09 2.8595E-09
3.9400E-03 0.0000E+00 5.7210E-09 4.1782E-09
3.9200E-03 0.0000E+00 7.0050E-09 5.3697E-09
3.9000E-03 0.0000E+00 8.2966E-09 6.7412E-09
3.8800E-03 0.0000E+00 9.4321E-09 7.7616E-09
3.8600E-03 0.0000E+00 1.0542E-08 8.7839E-09
3.8400E-03 0.0000E+00 1.1585E-08 9.9953E-09
3.8200E-03 0.0000E+00 1.2525E-08 1.0717E-08
3.8000E-03 0.0000E+00 1.3393E-08 1.1834E-08
3.7800E-03 0.0000E+00 1.4274E-08 1.2355E-08
3.7600E-03 0.0000E+00 1.5237E-08 1.3628E-08
3.7400E-03 0.0000E+00 1.6306E-08 1.3923E-08
3.7200E-03 0.0000E+00 1.7330E-08 1.4830E-08
3.7000E-03 0.0000E+00 1.8306E-08 1.5156E-08
3.6800E-03 0.0000E+00 1.9182E-08 1.5500E-08
3.6600E-03 0.0000E+00 1.9996E-08 1.5849E-08
3.6400E-03 0.0000E+00 2.0804E-08 1.6347E-08
3.6200E-03 0.0000E+00 2.1612E-08 1.7397E-08
3.6000E-03 0.0000E+00 2.2458E-08 1.8221E-08
3.5800E-03 0.0000E+00 2.3339E-08 1.9078E-08
3.5600E-03 0.0000E+00 2.4156E-08 1.9778E-08
3.5400E-03 0.0000E+00 2.4892E-08 2.0405E-08
3.5200E-03 0.0000E+00 2.5561E-08 1.9934E-08
3.5000E-03 0.0000E+00 2.6283E-08 2.0847E-08
3.4800E-03 0.0000E+00 2.7146E-08 2.1129E-08
3.4600E-03 0.0000E+00 2.8121E-08 2.1564E-08
3.4400E-03 0.0000E+00 2.9194E-08 2.1962E-08
3.4200E-03 0.0000E+00 3.0366E-08 2.2024E-08
3.4000E-03 0.0000E+00 3.1576E-08 2.2083E-08
3.3800E-03 0.0000E+00 3.2786E-08 2.1962E-08
3.3600E-03 0.0000E+00 3.3997E-08 2.2050E-08
3.3400E-03 0.0000E+00 3.5093E-08 2.1888E-08
3.3200E-03 0.0000E+00 3.6120E-08 2.2352E-08
3.3000E-03 0.0000E+00 3.7068E-08 2.2343E-08
3.2800E-03 0.0000E+00 3.8004E-08 2.2867E-08
3.2600E-03 0.0000E+00 3.9002E-08 2.3456E-08
3.2400E-03 0.0000E+00 4.0022E-08 2.3963E-08
3.2200E-03 0.0000E+00 4.0912E-08 2.4003E-08
3.2000E-03 0.0000E+00 4.1651E-08 2.4123E-08
3.1800E-03 0.0000E+00 4.2277E-08 2.4098E-08
3.1600E-03 0.0000E+00 4.2922E-08 2.4716E-08
3.1400E-03 0.0000E+00 4.3632E-08 2.4938E-08
3.1200E-03 0.0000E+00 4.4445E-08 2.5595E-08
3.1000E-03 0.0000E+00 4.5340E-08 2.5762E-08
3.0800E-03 0.0000E+00 4.6200E-08 2.5382E-08
3.0600E-03 0.0000E+00 4.6944E-08 2.5464E-08
3.0400E-03 0.0000E+00 4.7645E-08 2.5211E-08
3.0200E-03 0.0000E+00 4.8351E-08 2.4977E-08
3.0000E-03 0.0000E+00 4.9115E-08 2.4795E-08
2.9800E-03 0.0000E+00 4.9903E-08 2.4382E-08
2.9600E-03 0.0000E+00 5.0729E-08 2.3814E-08
2.9400E-03 0.0000E+00 5.1528E-08 2.3119E-08
2.9200E-03 0.0000E+00 5.2310E-08 2.2887E-08
2.9000E-03 0.0000E+00 5.3085E-08 2.2364E-08
2.8800E-03 0.0000E+00 5.3876E-08 2.1751E-08
2.8600E-03 0.0000E+00 5.4784E-08 2.1289E-08
2.8400E-03 0.0000E+00 5.5801E-08 2.0660E-08
2.8200E-03 0.0000E+00 5.6952E-08 2.0640E-08
2.8000E-03 0.0000E+00 5.8255E-08 2.0100E-08
2.7800E-03 0.0000E+00 5.9660E-08 1.9134E-08
2.7600E-03 0.0000E+00 6.1052E-08 1.8270E-08
2.7400E-03 0.0000E+00 6.2414E-08 1.7253E-08
2.7200E-03 0.0000E+00 6.3676E-08 1.6555E-08
2.7000E-03 0.0000E+00 6.4856E-08 1.5560E-08
2.6800E-03 0.0000E+00 6.6056E-08 1.4681E-08
2.6600E-03 0.0000E+00 6.7352E-08 1.3941E-08
2.6400E-03 0.0000E+00 6.8796E-08 1.3459E-08
2.6200E-03 0.0000E+00 7.0430E-08 1.2567E-08
2.6000E-03 0.0000E+00 7.2285E-08 1.1882E-08
2.5800E-03 0.0000E+00 7.4372E-08 1.1352E-08
2.5600E-03 0.0000E+00 7.6560E-08 9.9517E-09
2.5400E-03 0.0000E+00 7.8740E-08 8.4274E-09
2.5200E-03 0.0000E+00 8.0835E-08 7.0158E-09
2.5000E-03 0.0000E+00 8.2880E-08 5.1132E-09
2.4800E-03 0.0000E+00 8.4928E-08 4.1800E-09
2.4600E-03 0.0000E+00 8.6975E-08 2.8849E-09
2.4400E-03 0.0000E+00 8.9118E-08 2.0918E-09
2.4200E-03 0.0000E+00 9.1411E-08 1.0459E-09
2.4000E-03 0.0000E+00 9.3847E-08 4.5475E-11
2.3800E-03 0.0000E+00 9.6451E-08 -1.2424E-09
2.3600E-03 0.0000E+00 9.9134E-08 -2.5229E-09
2.3400E-03 0.0000E+00 1.0188E-07 -4.0491E-09
2.3200E-03 0.0000E+00 1.0463E-07 -5.5388E-09
2.3000E-03 0.0000E+00 1.0729E-07 -6.6448E-09
2.2800E-03 0.0000E+00 1.0989E-07 -8.0072E-09
2.2600E-03 0.0000E+00 1.1257E-07 -8.8203E-09
2.2400E-03 0.0000E+00 1.1541E-07 -1.0225E-08
2.2200E-03 0.0000E+00 1.1838E-07 -1.1072E-08
2.2000E-03 0.0000E+00 1.2146E-07 -1.1873E-08
2.1800E-03 0.0000E+00 1.2460E-07 -1.2986E-08
2.1600E-03 0.0000E+00 1.2779E-07 -1.4077E-08
2.1400E-03 0.0000E+00 1.3112E-07 -1.4670E-08
2.1200E-03 0.0000E+00 1.3469E-07 -1.5441E-08
2.1000E-03 0.0000E+00 1.3843E-07 -1.6553E-08
2.0800E-03 0.0000E+00 1.4230E-07 -1.7313E-08
2.0600E-03 0.0000E+00 1.4636E-07 -1.8046E-08
2.0400E-03 0.0000E+00 1.5058E-07 -1.8856E-08
2.0200E-03 0.0000E+00 1.5496E-07 -1.9485E-08
2.0000E-03 0.0000E+00 1.5945E-07 -2.0094E-08
1.9800E-03 0.0000E+00 1.6402E-07 -2.0838E-08
1.9600E-03 0.0000E+00 1.6873E-07 -2.1439E-08
1.9400E-03 0.0000E+00 1.7352E-07 -2.2175E-08
1.9200E-03 0.0000E+00 1.7833E-07 -2.3125E-08
1.9000E-03 0.0000E+00 1.8331E-07 -2.3743E-08
1.8800E-03 0.0000E+00 1.8853E-07 -2.3992E-08
1.8600E-03 0.0000E+00 1.9400E-07 -2.4704E-08
1.8400E-03 0.0000E+00 1.9969E-07 -2.5397E-08
1.8200E-03 0.0000E+00 2.0556E-07 -2.6526E-08
1.8000E-03 0.0000E+00 2.1168E-07 -2.7785E-08
1.7800E-03 0.0000E+00 2.1807E-07 -2.8771E-08
1.7600E-03 0.0000E+00 2.2476E-07 -3.0146E-08
1.7400E-03 0.0000E+00 2.3173E-07 -3.1321E-08
1.7200E-03 0.0000E+00 2.3906E-07 -3.2545E-08
1.7000E-03 0.0000E+00 2.4668E-07 -3.4046E-08
1.6800E-03 0.0000E+00 2.5473E-07 -3.5476E-08
1.6600E-03 0.0000E+00 2.6314E-07 -3.6918E-08
1.6400E-03 0.0000E+00 2.7186E-07 -3.8403E-08
1.6200E-03 0.0000E+00 2.8094E-07 -3.9627E-08
1.6000E-03 0.0000E+00 2.9042E-07 -4.0878E-08
1.5800E-03 0.0000E+00 3.0029E-07 -4.1611E-08
1.5600E-03 0.0000E+00 3.1055E-07 -4.1764E-08
1.5400E-03 0.0000E+00 3.2116E-07 -4.1569E-08
1.5200E-03 0.0000E+00 3.3219E-07 -4.1451E-08
1.5000E-03 0.0000E+00 3.4364E-07 -4.1167E-08
1.4800E-03 0.0000E+00 3.5547E-07 -4.0411E-08
1.4600E-03 0.0000E+00 3.6777E-07 -3.9689E-08
1.4400E-03 0.0000E+00 3.8057E-07 -3.9321E-08
1.4200E-03 0.0000E+00 3.9391E-07 -3.8352E-08
1.4000E-03 0.0000E+00 4.0773E-07 -3.7327E-08
1.3800E-03 0.0000E+00 4.2213E-07 -3.6378E-08
1.3600E-03 0.0000E+00 4.3714E-07 -3.5272E-08
1.3400E-03 0.0000E+00 4.5275E-07 -3.3760E-08
1.3200E-03 0.0000E+00 4.6900E-07 -3.1800E-08
1.3000E-03 0.0000E+00 4.8591E-07 -2.9848E-08
1.2800E-03 0.0000E+00 5.0342E-07 -2.7383E-08
1.2600E-03 0.0000E+00 5.2177E-07 -2.4800E-08
1.2400E-03 0.0000E+00 5.4101E-07 -2.2304E-08
1.2200E-03 0.0000E+00 5.6115E-07 -1.9603E-08
1.2000E-03 0.0000E+00 5.8228E-07 -1.6855E-08
1.1800E-03 0.0000E+00 6.0441E-07 -1.3561E-08
1.1600E-03 0.0000E+00 6.2765E-07 -9.8371E-09
1.1400E-03 0.0000E+00 6.5222E-07 -5.8844E-09
1.1200E-03 0.0000E+00 6.7821E-07 -1.5152E-09
1.1000E-03 0.0000E+00 7.0576E-07 4.0254E-09
1.0800E-03 0.0000E+00 7.3503E-07 9.3387E-09
1.0600E-03 0.0000E+00 7.6613E-07 1.5738E-08
1.0400E-03 0.0000E+00 7.9899E-07 2.2268E-08
1.0200E-03 0.0000E+00 8.3374E-07 3.0212E-08
1.0000E-03 0.0000E+00 8.7063E-07 3.8879E-08
9.8000E-04 0.0000E+00 9.0973E-07 4.8703E-08
9.6000E-04 0.0000E+00 9.5138E-07 5.9390E-08
9.4000E-04 0.0000E+00 9.9567E-07 7.1341E-08
9.2000E-04 0.0000E+00 1.0429E-06 8.4518E-08
9.0000E-04 0.0000E+00 1.0933E-06 9.9239E-08
8.8000E-04 0.0000E+00 1.1473E-06 1.1513E-07
8.6000E-04 0.0000E+00 1.2050E-06 1.3329E-07
8.4000E-04 0.0000E+00 1.2671E-06 1.5351E-07
8.2000E-04 0.0000E+00 1.3338E-06 1.7651E-07
8.0000E-04 0.0000E+00 1.4055E-06 2.0281E-07
7.8000E-04 0.0000E+00 1.4826E-06 2.3336E-07
7.6000E-04 0.0000E+00 1.5657E-06 2.6786E-07
7.4000E-04 0.0000E+00 1.6553E-06 3.0835E-07
7.2000E-04 0.0000E+00 1.7522E-06 3.5460E-07
7.0000E-04 0.0000E+00 1.8573E-06 4.1008E-07
6.8000E-04 0.0000E+00 1.9711E-06 4.7327E-07
6.6000E-04 0.0000E+00 2.0962E-06 5.5319E-07
6.4000E-04 0.0000E+00 2.2571E-06 6.6501E-07
6.2000E-04 0.0000E+00 2.4511E-06 8.1205E-07
6.0000E-04 0.0000E+00 2.6968E-06 1.0001E-06
5.8000E-04 0.0000E+00 3.0172E-06 1.2469E-06
5.6000E-04 0.0000E+00 3.4520E-06 1.5841E-06
5.4000E-04 0.0000E+00 4.0810E-06 2.0418E-06
5.2000E-04 0.0000E+00 4.9438E-06 2.6450E-06
5.0000E-04 0.0000E+00 6.1130E-06 3.3856E-06
4.8000E-04 0.0000E+00 7.5522E-06 4.1478E-06
4.6000E-04 0.0000E+00 9.1970E-06 4.7966E-06
4.4000E-04 0.0000E+00 1.1016E-05 5.1987E-06
4.2000E-04 0.0000E+00 1.3006E-05 5.2854E-06
4.0000E-04 0.0000E+00 1.4940E-05 4.8118E-06
3.8000E-04 0.0000E+00 1.6730E-05 3.8191E-06
3.6000E-04 0.0000E+00 1.8305E-05 2.2914E-06
3.4000E-04 0.0000E+00 1.9518E-05 3.2447E-07
3.2000E-04 0.0000E+00 2.0322E-05 -1.9803E-06
3.0000E-04 0.0000E+00 2.0726E-05 -4.4843E-06
2.8000E-04 0.0000E+00 2.0714E-05 -7.0323E-06
2.6000E-04 0.0000E+00 2.0311E-05 -9.5740E-06
2.4000E-04 0.0000E+00 1.9604E-05 -1.1973E-05
2.2000E-04 0.0000E+00 1.8614E-05 -1.4257E-05
2.0000E-04 0.0000E+00 1.7429E-05 -1.6319E-05
1.8000E-04 0.0000E+00 1.6045E-05 -1.8299E-05
1.6000E-04 0.0000E+00 1.4541E-05 -2.0020E-05
1.4000E-04 0.0000E+00 1.2925E-05 -2.1693E-05
1.2000E-04 0.0000E+00 1.1263E-05 -2.3078E-05
1.0000E-04 0.0000E+00 9.4936E-06 -2.4447E-05
8.0000E-05 0.0000E+00 7.7122E-06 -2.5436E-05
6.0000E-05 0.0000E+00 5.8277E-06 -2.6474E-05
4.0000E-05 0.0000E+00 3.9390E-06 -2.6961E-05
2.0000E-05 0.0000E+00 1.8123E-06 -2.7683E-05
0.0000E+00 0.0000E+00 0.0000E+00 -2.7408E-05
